"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"1915","15q","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1916","18p","6p",0,4,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1917","17p","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1918","20p","6p",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1919","10q","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1920","12p","6p",0,7,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1921","16q","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1922","1p","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1923","2q","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1924","3p","6p",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1925","14whole","6p",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1926","18q","6p",0,3,1,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"1927","3q","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1928","12q","6p",0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1929","2p","6p",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1930","17q","6p",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1931","1q","6p",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1932","11q","6p",0,6,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1933","14q","6p",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1934","13q","6p",0,1,NA,"RECA","b7fbd99c-dea0-4448-a430-7f94c611e702.rds"
"1935","4p","6q",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1936","5p","6q",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1937","5q","6q",0,1,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds"
"1938","10p","6q",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1939","19p","6q",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1940","19q","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1941","20q","6q",0,6,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1942","21q","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1943","22q","6q",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1944","16p","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1945","4q","6q",-0.25,4,0.39100221895577,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1946","11p","6q",0,6,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1947","13whole","6q",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1948","15q","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1949","18p","6q",0,4,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1950","17p","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1951","20p","6q",0.2,5,0.373900966300059,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1952","10q","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1953","12p","6q",0,7,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1954","16q","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1955","1p","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1956","2q","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1957","3p","6q",0,3,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1958","6p","6q",0,7,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1959","14whole","6q",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1960","18q","6q",0,3,1,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"1961","3q","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds"
"1962","12q","6q",0.166666666666667,6,0.363217467649122,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1963","2p","6q",0,5,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1964","17q","6q",0,4,NA,"RECA","04db8bef-8777-48ac-bc2e-3c9acb103f48.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1965","1q","6q",0,3,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1966","11q","6q",0,6,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds b7fbd99c-dea0-4448-a430-7f94c611e702.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1967","14q","6q",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1968","13q","6q",0,1,NA,"RECA","b7fbd99c-dea0-4448-a430-7f94c611e702.rds"
"1969","4p","9p",0,3,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1970","5p","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1971","5q","9p",0,1,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds"
"1972","8q","9p",0.5,2,0.5,"RECA","e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1973","10p","9p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1974","19p","9p",0.5,2,0.5,"RECA","e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1975","19q","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1976","20q","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1977","21q","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1978","22q","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1979","7p","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1980","16p","9p",0.5,2,0.5,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1981","4q","9p",0,4,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1982","8p","9p",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1983","11p","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1984","13whole","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1985","15q","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1986","18p","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1987","17p","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1988","20p","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1989","10q","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1990","12p","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1991","16q","9p",0,1,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds"
"1992","1p","9p",0.25,4,0.39100221895577,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1993","2q","9p",0,3,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds 675a5a32-b405-4f03-bfcd-756343d1dfaf.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1994","3p","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1995","6p","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1996","6q","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"1997","14whole","9p",1,1,NA,"RECA","e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1998","18q","9p",0,2,NA,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"1999","3q","9p",0,1,NA,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds"
"2000","12q","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2001","2p","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2002","7q","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2003","17q","9p",0.5,2,0.5,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2004","1q","9p",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2005","11q","9p",0.333333333333333,3,0.422649730810374,"RECA","675a5a32-b405-4f03-bfcd-756343d1dfaf.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2006","14q","9p",0,1,NA,"RECA","f6e758a5-150f-4424-90b7-1c1a34aec9a3.rds"
"2007","10p","14whole",0,1,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds"
"2008","11p","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2009","13whole","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2010","10q","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2011","12p","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2012","1p","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2013","12q","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2014","1q","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2015","11q","14whole",0,2,NA,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2016","10p","18q",-0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"2017","16p","18q",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2018","11p","18q",0,4,1,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"2019","13whole","18q",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2020","15q","18q",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2021","18p","18q",0,4,1,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
"2022","17p","18q",0.333333333333333,3,0.422649730810374,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2023","10q","18q",0.5,2,0.5,"RECA","d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds"
"2024","12p","18q",0,4,1,"RECA","29548b5f-c88a-4908-8c46-e86483e75067.rds d926a39f-d057-4e78-8907-b74f52157d99.rds e5c89fcf-cc57-4fad-a138-ea47ee9ea225.rds f4baf913-c4ac-46f3-83b6-306b9182207d.rds"
